C_MNTH,C_WDAY,C_HOUR,C_VEHS,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_TYPE,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,V_AGE
11,7,19,3,1,1,1,1,18,1,1,37,11,1,12,1,21
8,7,0,2,1,1,1,3,18,1,0,31,11,1,2,1,13
11,6,11,3,1,3,2,1,18,1,1,33,11,1,2,1,13
2,4,8,3,2,1,4,1,3,1,0,61,11,1,2,1,13
5,4,11,5,1,3,2,1,18,1,1,35,11,1,2,1,12
11,6,17,2,1,3,2,1,18,1,0,75,11,1,2,1,13
8,5,18,2,1,1,1,1,18,1,1,78,11,1,2,1,7
1,5,8,2,1,1,1,1,18,1,0,39,11,1,2,1,6
7,2,17,2,1,1,1,3,18,1,1,21,11,1,1,1,14
10,3,14,2,1,1,1,1,18,14,1,46,11,1,9,5,10
10,5,0,3,2,1,1,1,3,1,1,36,11,1,1,1,8
4,2,10,2,1,1,1,1,18,1,0,64,11,1,2,1,9
6,5,4,2,1,1,1,1,18,1,0,26,23,1,2,2,14
6,3,22,4,1,1,1,1,18,1,0,61,11,1,2,1,8
8,5,17,2,1,2,1,1,18,1,1,54,11,1,2,1,8
4,4,20,2,1,1,1,1,18,1,0,81,11,1,2,1,5
12,6,18,3,1,1,1,1,18,1,0,11,21,1,2,2,7
6,7,4,3,2,3,2,1,4,1,0,30,23,1,2,2,17
12,3,14,2,1,4,3,1,18,1,0,38,11,1,1,1,16
4,6,7,2,1,1,1,1,18,1,0,37,11,1,1,1,6
1,2,13,2,1,4,5,1,18,1,1,43,12,1,2,2,6
8,3,9,2,1,1,1,1,18,1,0,50,11,1,1,1,10
4,6,18,3,2,1,1,1,3,1,0,44,11,1,2,1,9
1,3,14,2,1,1,2,1,18,1,1,49,11,1,2,1,6
9,1,11,2,1,1,1,1,18,1,0,62,11,1,12,1,20
6,5,9,2,1,1,1,1,18,1,1,43,11,1,2,1,8
11,5,22,3,1,1,1,1,18,1,0,32,13,1,2,2,15
6,5,17,2,2,1,1,1,18,1,0,45,11,1,2,1,10
