C_MNTH,C_WDAY,C_HOUR,C_VEHS,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_TYPE,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,V_AGE
1,2,8,2,1,1,2,5,18,1,1,13,21,1,2,2,9
6,6,19,2,1,1,1,3,18,14,0,43,12,1,9,5,7
10,5,19,2,1,1,1,1,18,1,0,50,11,1,2,1,17
6,1,0,2,1,1,2,1,18,1,0,20,11,1,1,1,9
2,7,23,2,1,1,5,1,18,1,1,40,11,1,2,1,16
1,7,17,2,3,1,5,1,3,1,1,18,11,1,2,1,7
12,5,3,2,3,1,1,2,18,1,1,23,11,1,2,1,8
9,2,8,3,2,1,1,1,3,1,0,62,11,1,2,1,2
3,7,2,2,1,1,1,1,18,1,1,27,11,1,2,1,5
8,5,22,2,1,2,1,1,18,1,0,19,11,1,2,1,13
7,7,11,2,1,2,1,1,18,1,1,80,11,1,2,1,1
2,6,23,3,1,1,2,1,18,1,1,8,23,1,2,2,5
9,6,14,2,1,1,1,3,18,1,0,57,11,1,2,1,2
5,3,9,2,1,2,1,1,18,1,0,31,11,1,2,1,1
1,7,5,2,1,1,2,1,18,1,1,25,13,1,2,2,5
5,3,13,3,1,1,1,1,18,1,1,26,11,1,2,1,14
5,6,18,2,1,1,1,2,18,1,0,60,11,1,2,1,12
8,4,16,2,2,2,1,1,1,14,1,51,13,1,9,5,10
7,1,8,3,1,1,2,3,18,1,1,46,11,1,2,1,5
8,7,14,4,1,1,1,3,18,1,1,54,11,1,2,1,14
12,5,9,2,1,1,5,1,18,7,0,51,11,1,2,1,8
6,6,14,2,1,1,1,1,18,1,1,62,11,1,2,1,13
5,6,12,2,1,1,1,1,18,1,0,28,11,1,2,1,20
8,7,11,2,1,2,2,1,18,1,0,48,11,1,2,1,4
7,4,17,2,1,1,1,1,18,1,0,72,11,1,2,1,0
10,6,19,2,1,2,1,1,18,1,0,34,13,1,2,2,12
3,3,15,2,2,1,1,1,3,1,1,44,11,1,2,1,10
6,2,17,2,1,1,1,1,18,1,0,45,11,1,1,1,13
1,1,21,2,1,5,5,3,18,1,0,54,13,1,1,2,8
11,1,8,3,1,1,1,1,18,1,1,26,11,1,2,1,1
2,3,8,3,1,1,2,3,18,1,1,18,11,1,2,1,9
2,6,10,2,1,6,3,5,18,1,1,25,11,1,2,1,10
12,3,10,7,2,1,1,1,18,1,0,63,11,1,2,1,7
3,3,8,4,2,4,3,1,3,1,0,19,11,1,12,1,3
2,6,18,2,1,1,5,1,18,1,1,18,11,1,12,1,12
8,6,19,3,1,1,1,1,18,1,1,70,11,1,2,1,6
8,5,5,2,1,1,1,1,18,1,1,66,13,1,2,2,7
4,1,3,2,1,1,1,1,18,1,1,18,11,1,2,1,8
2,3,11,2,1,4,3,1,18,1,0,38,12,1,2,2,6
5,2,0,2,1,1,1,1,18,1,0,34,11,1,2,1,3
2,3,7,2,2,4,3,1,3,1,0,34,11,1,2,1,4
7,1,19,2,2,1,1,1,18,1,1,17,11,1,2,1,10
10,4,16,2,1,1,1,1,18,1,1,24,11,1,2,1,5
8,3,1,2,1,1,1,1,18,1,0,18,13,1,2,2,8
9,3,3,3,1,2,1,1,18,1,0,25,11,1,2,1,8
10,1,15,5,1,3,2,1,18,1,0,16,11,1,2,1,6
2,4,15,2,1,1,1,1,18,1,1,30,11,1,2,1,12
10,7,13,2,1,1,1,2,1,1,0,81,11,1,2,1,5
10,3,19,3,2,1,1,1,18,1,1,46,11,1,2,1,14
6,4,15,2,1,2,1,1,18,1,0,80,11,1,2,1,6
11,3,13,2,1,2,1,1,18,1,1,62,11,1,2,1,1
6,7,22,2,1,1,1,1,3,1,0,2,23,1,2,2,9
7,5,4,2,1,1,1,1,18,1,1,42,11,1,2,1,14
5,4,10,2,1,1,2,1,18,1,0,9,23,1,2,2,11
4,6,23,2,1,1,1,3,18,1,1,34,11,1,2,1,9
7,1,17,2,1,1,1,1,18,1,1,76,11,1,1,1,18
6,3,17,3,1,2,1,1,18,1,1,63,11,1,2,1,14
12,2,16,3,3,1,2,1,18,1,1,85,13,1,2,2,7
7,3,14,2,3,1,1,1,18,14,1,54,11,1,13,5,13
5,3,16,2,1,1,1,1,18,1,1,67,13,1,12,2,16
12,3,16,2,1,2,2,1,18,1,0,41,11,1,2,1,13
10,4,17,3,2,1,1,1,3,1,0,21,11,1,2,1,17
4,5,21,14,1,4,5,1,18,1,0,17,11,1,2,1,10
7,7,8,3,1,1,1,1,18,1,1,74,11,1,2,1,15
1,4,16,2,1,1,2,3,18,1,1,26,11,1,2,1,14
7,1,3,2,1,3,2,1,18,1,1,39,11,1,2,1,5
11,5,16,2,1,1,1,2,18,1,1,89,11,1,2,1,9
6,1,15,2,1,1,1,1,18,1,1,56,11,1,2,1,11
6,6,11,3,1,1,1,1,18,14,0,34,12,1,9,5,14
1,5,23,2,1,1,1,4,10,1,0,20,13,1,1,2,12
9,6,14,2,1,1,1,1,18,1,0,84,11,1,2,1,12
5,4,16,2,1,2,1,3,3,1,0,18,11,1,2,1,12
9,4,8,2,3,1,1,1,18,1,1,10,21,1,2,2,12
3,3,16,2,1,1,1,1,18,1,1,49,11,1,2,1,9
7,4,16,2,1,1,1,1,18,14,0,15,11,1,9,5,6
3,1,15,3,2,1,1,1,3,1,0,20,11,1,2,1,9
5,6,20,3,1,1,1,1,18,1,0,26,11,1,12,1,15
5,7,16,2,1,1,1,3,18,14,0,25,11,1,9,5,22
10,5,8,2,1,1,1,1,18,1,1,34,11,1,2,1,6
10,3,8,2,1,1,1,1,18,1,1,44,11,1,2,1,6
1,7,9,2,1,4,5,1,18,1,0,28,11,1,2,1,11
6,6,10,3,1,1,1,3,18,1,1,43,11,1,2,1,1
7,6,3,4,1,1,1,1,18,1,0,29,13,1,2,2,10
7,7,21,2,1,1,1,2,1,14,0,45,11,1,9,5,16
12,4,9,2,1,7,3,1,18,1,1,25,11,1,2,1,3
11,2,16,2,1,2,1,1,18,1,0,62,13,1,2,2,14
7,6,2,2,3,1,1,1,18,1,0,41,11,1,1,1,10
2,5,0,2,1,4,3,1,18,1,1,19,11,1,2,1,3
2,1,17,3,1,1,2,1,18,1,0,56,11,1,2,1,16
10,7,18,2,1,2,1,3,18,1,1,25,11,1,12,1,17
6,3,10,2,1,1,1,3,18,1,0,31,11,1,2,1,24
11,7,18,4,2,1,1,1,8,1,1,81,13,1,2,2,3
10,3,16,2,1,3,2,2,18,1,1,56,11,1,2,1,13
5,4,18,2,1,1,1,1,18,1,1,42,11,1,2,1,3
4,1,5,4,1,1,1,1,18,1,0,21,11,1,2,1,10
11,2,16,2,1,2,1,1,18,1,0,81,11,1,2,1,14
4,7,7,2,3,1,1,1,18,1,0,25,11,1,2,1,10
1,7,1,2,3,1,1,1,18,1,0,21,11,1,12,1,23
10,6,10,4,1,1,1,3,18,1,1,36,11,1,2,1,15
11,3,17,2,3,1,1,1,18,1,0,65,11,1,2,1,24
4,3,11,2,2,1,1,1,18,1,1,83,11,1,1,1,6
8,6,12,2,1,1,1,2,18,1,0,48,11,1,1,1,11
12,3,16,2,1,1,5,1,18,1,1,58,11,1,2,1,10
5,1,10,2,1,1,1,1,18,1,0,76,11,1,2,1,8
9,1,11,2,1,1,1,1,18,1,0,11,13,1,2,2,11
3,5,4,2,1,3,2,1,18,1,0,34,13,1,2,2,11
1,2,9,2,1,1,2,1,18,1,1,58,13,1,1,2,3
10,1,10,2,1,1,1,1,18,1,0,88,11,1,2,1,3
8,1,8,2,3,1,1,1,18,1,1,52,11,1,2,1,12
4,7,10,2,1,3,2,1,18,1,1,36,11,1,2,1,9
8,3,14,4,1,1,1,1,18,1,1,20,11,1,2,1,13
7,4,16,2,1,1,1,1,18,1,1,18,13,1,2,2,5
7,2,16,4,2,1,1,1,3,1,1,30,11,1,12,1,7
7,4,8,3,1,1,1,2,1,1,0,18,23,1,2,2,1
4,3,4,2,1,1,1,1,18,1,0,26,11,1,2,1,20
9,7,12,2,1,3,2,1,18,1,0,27,11,1,2,1,16
11,2,13,2,1,1,1,1,18,1,1,55,11,1,1,1,13
5,7,19,2,1,1,1,1,18,1,1,1,13,1,2,2,12
12,5,17,2,1,1,1,1,18,1,0,45,11,1,2,1,18
2,2,11,2,1,6,3,1,18,1,0,34,11,1,2,1,3
1,6,19,2,1,3,5,1,18,1,1,19,23,1,2,2,8
7,5,9,4,3,1,1,1,18,1,1,17,13,1,2,2,14
5,6,21,2,1,1,1,1,18,1,1,6,21,1,2,2,7
6,3,14,2,1,1,1,1,18,1,0,46,11,1,2,1,4
7,5,10,2,1,1,1,3,18,1,1,63,11,1,2,1,1
2,1,10,4,2,1,1,1,18,1,1,27,11,1,2,1,14
12,1,17,2,1,1,1,1,17,1,0,24,11,1,1,1,4
7,3,15,2,1,1,1,1,18,1,0,54,11,1,2,1,15
7,4,20,4,1,1,1,1,18,1,0,81,11,1,2,1,16
5,1,1,3,1,1,1,3,18,1,0,43,11,1,2,1,5
11,1,8,2,1,1,1,1,18,1,0,50,13,1,2,2,13
9,1,22,2,2,3,2,1,3,1,0,45,11,1,2,1,11
10,5,19,3,1,1,1,1,18,1,0,79,11,1,2,1,11
10,1,20,4,1,1,1,1,18,1,1,63,13,1,2,2,5
3,7,5,2,1,1,1,1,18,1,0,21,11,1,2,1,2
10,5,10,2,1,1,1,1,18,1,1,85,13,1,2,2,2
9,7,5,2,1,1,1,1,18,1,0,44,11,1,2,1,13
10,1,22,3,1,1,1,1,1,1,0,20,11,1,2,1,9
12,7,5,2,2,1,5,1,18,1,0,64,12,1,2,2,11
4,7,1,2,1,1,1,1,18,1,0,35,11,1,12,1,14
9,1,22,2,1,1,1,2,18,1,1,33,11,1,2,1,18
9,7,9,2,1,1,1,1,18,1,1,58,11,1,2,1,5
10,3,1,2,1,1,1,1,18,1,1,27,11,1,2,1,15
3,6,17,3,2,1,1,5,1,1,0,73,11,1,1,1,11
6,5,12,3,2,1,1,1,1,1,0,28,11,1,2,1,5
4,5,8,2,1,2,1,1,18,1,1,59,11,1,2,1,3
5,6,11,2,1,1,1,1,18,1,1,27,11,1,2,1,9
5,6,22,2,9,2,1,3,18,1,1,25,11,1,2,1,2
4,3,14,2,1,1,1,1,18,1,0,72,11,1,2,1,2
4,5,11,2,1,1,1,1,18,1,1,62,13,1,2,2,9
5,2,0,2,1,1,1,1,18,1,0,80,11,1,2,1,3
8,7,0,2,1,1,1,1,18,1,0,16,11,1,2,1,2
11,2,17,2,1,1,1,1,18,1,1,18,12,1,2,2,1
11,7,9,2,1,1,1,1,1,1,0,7,23,1,2,2,2
8,3,2,2,1,1,1,2,18,1,0,17,13,1,2,2,13
9,7,23,2,1,2,1,1,3,1,0,20,23,1,2,2,5
6,6,14,2,1,1,1,1,18,1,1,20,11,1,2,1,4
11,2,19,2,1,3,2,2,18,1,0,24,11,1,2,1,11
2,3,9,2,1,2,1,1,18,1,0,38,11,1,2,1,10
3,4,12,4,1,1,2,1,3,1,0,65,13,1,2,2,6
9,5,13,2,1,1,1,1,18,1,1,70,11,1,2,1,23
5,6,21,2,1,1,1,6,1,1,1,67,11,1,2,1,1
11,3,15,3,1,1,1,1,3,1,0,53,11,1,2,1,13
7,1,19,3,3,1,1,1,18,1,0,82,11,1,12,1,19
2,1,11,2,2,2,2,1,18,1,1,87,11,1,13,1,9
6,5,4,2,1,1,1,1,18,1,0,26,11,1,2,1,14
8,4,4,2,1,1,1,1,18,1,0,25,11,1,2,1,2
10,5,15,2,1,1,1,1,18,1,1,83,11,1,2,1,8
2,3,15,2,1,1,1,1,18,14,0,23,11,1,9,5,4
2,1,16,4,1,1,1,1,1,1,0,39,11,1,2,1,15
12,1,18,3,2,1,1,1,18,1,1,55,11,1,2,1,14
11,2,8,2,1,1,1,1,18,1,0,27,11,1,2,1,11
7,3,16,2,1,1,1,1,18,1,1,19,11,1,2,1,5
7,2,0,4,1,1,1,1,18,1,1,17,13,1,2,2,18
9,5,20,2,1,1,1,1,18,1,1,55,11,1,2,1,5
4,7,6,4,1,1,1,1,18,1,1,29,11,1,2,1,6
1,4,17,2,1,1,5,1,18,1,0,38,11,1,2,1,6
11,3,21,3,1,3,2,3,18,1,0,30,11,1,2,1,2
8,6,13,3,1,1,1,1,18,1,1,83,11,1,2,1,6
1,2,23,2,3,1,1,1,18,1,0,30,23,1,2,2,6
2,4,9,2,1,1,4,3,18,1,1,17,21,1,2,2,16
3,7,10,2,2,1,1,1,1,1,1,83,11,1,2,1,4
11,1,7,2,1,1,1,1,18,7,0,46,11,1,2,1,7
11,4,17,3,1,1,1,1,18,1,0,28,11,1,1,1,21
3,3,22,2,1,3,2,1,18,1,0,32,11,1,2,1,16
1,2,20,3,1,1,1,1,18,1,0,18,21,1,2,2,9
3,2,7,2,1,1,5,2,18,1,0,18,11,1,2,1,14
9,7,9,4,2,1,1,1,1,1,0,3,21,1,2,2,6
2,5,12,2,1,1,2,3,18,1,1,47,11,1,2,1,4
11,3,12,3,3,1,5,1,18,1,0,54,11,1,2,1,4
8,6,12,2,1,1,1,1,18,1,0,33,11,1,2,1,13
12,2,15,2,1,1,1,2,18,1,0,21,11,1,2,1,5
9,7,12,3,1,2,1,1,18,1,0,78,11,1,2,1,6
7,3,17,2,1,1,1,2,18,1,0,23,11,1,2,1,15
10,4,18,2,2,3,2,1,1,1,1,34,13,1,2,2,10
3,5,8,2,1,1,1,1,18,1,0,3,22,1,2,2,11
10,5,10,2,1,1,1,1,1,8,0,58,11,1,2,1,15
1,5,18,2,1,1,5,1,18,1,0,23,11,1,1,1,11
11,5,22,3,1,1,1,1,18,1,0,26,11,1,2,1,15
5,4,17,2,1,1,1,2,18,1,1,37,11,1,2,1,13
7,5,23,2,1,1,1,1,18,1,0,38,11,1,2,1,22
3,2,1,2,1,1,1,3,18,1,0,34,11,1,2,1,12
10,5,2,2,1,1,1,1,18,1,0,26,11,1,2,1,15
8,7,17,2,1,1,1,2,18,1,1,23,13,1,1,2,6
11,1,20,2,1,1,1,1,18,1,1,66,11,1,2,1,4
11,7,6,2,1,3,5,1,18,1,0,17,11,1,2,1,12
9,6,14,2,1,1,1,2,18,1,0,41,11,1,1,1,1
11,4,9,2,1,1,1,1,18,1,0,78,11,1,2,1,2
9,2,14,2,1,1,1,1,18,1,1,64,21,1,2,2,14
4,6,18,2,1,1,1,5,18,1,1,45,11,1,2,1,2
12,3,18,2,1,1,1,1,18,1,1,24,11,1,2,1,10
9,5,12,2,1,1,1,1,18,1,0,19,11,1,2,1,10
10,6,4,2,1,1,1,1,18,1,0,22,11,1,2,1,6
3,2,9,2,1,1,1,1,18,1,0,53,11,1,2,1,13
8,7,22,3,1,1,1,1,18,1,0,26,13,1,2,2,1
1,2,10,3,1,1,2,1,18,1,1,18,13,1,2,2,18
1,6,16,2,1,1,1,1,18,1,1,71,11,1,2,1,7
7,4,13,3,2,1,1,1,18,1,1,10,13,1,2,2,8
7,5,20,5,1,1,1,1,18,1,0,35,11,1,2,1,14
8,7,4,4,2,1,1,1,18,1,0,30,11,1,1,1,12
9,3,19,2,1,1,1,1,18,1,1,16,11,1,2,1,25
9,2,10,2,3,1,1,1,18,1,0,56,11,1,2,1,13
2,6,10,2,3,4,4,1,18,1,1,28,12,1,2,2,8
3,5,15,2,1,1,1,1,18,1,0,25,11,1,2,1,4
10,5,22,2,1,1,1,1,18,1,0,16,11,1,2,1,11
2,6,4,3,1,1,1,1,18,7,0,38,11,1,2,1,2
6,7,16,3,2,1,1,1,1,1,1,78,11,1,2,1,7
1,1,17,4,2,1,2,1,1,1,0,21,11,1,1,1,10
12,7,11,2,1,1,3,3,18,11,0,46,11,1,2,1,7
5,7,4,3,1,1,1,2,18,1,1,18,12,1,1,2,13
1,1,7,3,1,1,3,1,18,1,0,70,11,1,2,1,5
8,6,7,2,1,1,1,1,18,1,1,43,23,1,2,2,3
10,5,20,2,1,1,1,1,18,1,0,26,11,1,2,1,16
11,4,19,2,1,1,1,1,18,1,0,54,11,1,2,1,10
7,1,7,4,1,1,1,1,18,1,0,61,11,1,2,1,13
9,5,2,2,2,1,1,1,3,1,0,22,13,1,2,2,16
11,2,12,2,1,2,5,1,18,1,1,35,11,1,12,1,17
7,4,20,2,1,1,1,1,18,1,1,35,11,1,2,1,1
7,2,2,2,2,2,1,1,18,1,1,30,11,1,2,1,17
11,6,0,2,1,2,1,2,18,1,1,24,13,1,2,2,4
10,2,3,2,1,1,1,1,18,1,1,25,13,1,2,2,5
7,7,23,2,1,2,1,3,18,1,0,21,11,1,2,1,11
9,7,5,4,1,2,1,2,18,1,0,26,11,1,1,1,13
10,7,7,2,1,1,1,1,18,1,0,17,11,1,2,1,9
5,7,2,2,1,1,2,4,18,1,0,33,11,1,2,1,5
1,5,8,2,1,4,3,1,18,1,0,71,11,1,12,1,1
10,5,18,2,1,1,1,1,18,1,0,32,11,1,2,1,3
2,3,1,3,1,2,1,4,18,1,0,42,11,1,2,1,6
11,7,16,2,1,1,1,1,18,1,1,46,11,1,2,1,15
3,7,8,3,1,1,1,1,18,1,1,83,13,1,2,2,7
10,2,7,6,1,1,1,1,18,1,0,46,11,1,2,1,12
1,3,3,2,2,1,3,5,18,1,0,50,11,1,1,1,12
2,2,12,4,2,2,1,1,18,1,1,56,11,1,2,1,4
7,5,2,2,2,1,1,6,18,1,0,18,11,1,1,1,10
1,5,12,2,1,1,1,1,18,1,1,22,11,1,2,1,7
8,2,4,3,1,2,1,1,18,1,1,22,11,1,2,1,6
6,2,18,3,1,3,2,1,18,1,1,73,11,1,2,1,11
12,2,22,2,1,1,2,5,18,1,0,26,11,1,2,1,9
8,3,7,3,1,1,1,2,18,1,0,63,11,1,2,1,11
6,6,20,2,1,2,1,3,18,14,0,15,21,1,9,5,12
12,7,10,2,1,1,1,1,18,1,1,20,11,1,2,1,1
11,1,16,2,1,1,1,1,18,1,0,24,11,1,2,1,13
9,2,8,3,1,3,2,3,18,1,0,20,11,1,2,1,13
10,2,9,3,1,2,1,1,18,1,1,67,11,1,2,1,4
8,4,20,3,1,2,1,1,18,1,0,53,11,1,2,1,3
1,2,7,2,1,1,5,1,18,1,1,24,11,1,2,1,4
10,4,18,2,1,3,4,1,18,1,1,22,13,1,2,2,6
4,3,6,3,1,2,1,1,18,1,0,57,11,1,2,1,2
9,1,22,2,1,2,2,1,18,1,0,19,11,1,1,1,12
5,5,19,2,1,1,1,3,18,14,0,49,11,1,1,5,8
3,3,13,8,1,4,3,2,18,1,1,59,11,1,2,1,11
1,5,11,2,1,1,3,2,18,1,0,27,11,1,2,1,4
11,3,9,2,1,1,1,1,18,1,0,83,11,1,2,1,8
6,1,4,3,1,3,2,1,18,1,1,27,13,1,2,2,17
12,6,3,2,1,1,1,1,18,1,0,43,11,1,2,1,1
8,4,16,2,2,1,1,1,18,1,0,20,11,1,2,1,12
6,7,21,2,1,1,1,1,18,1,0,27,13,1,2,2,11
5,4,13,2,1,1,1,1,18,1,1,32,11,1,2,1,13
6,3,12,2,1,3,2,1,18,1,1,62,11,1,2,1,7
12,6,0,3,1,2,1,1,18,1,0,52,11,1,2,1,10
11,2,17,2,3,1,1,1,18,1,0,20,11,1,2,1,9
6,6,17,2,1,1,1,1,18,14,0,15,11,1,9,5,12
4,3,17,2,3,1,1,1,18,1,0,17,13,1,2,2,6
5,6,16,3,1,1,1,1,18,1,1,34,11,1,2,1,16
7,7,3,2,2,1,1,1,1,1,0,56,11,1,2,1,6
3,2,2,3,1,1,1,1,18,1,0,26,11,1,1,1,8
5,2,22,2,1,3,2,1,3,1,1,75,11,1,2,1,18
8,3,12,2,1,1,1,1,18,1,1,65,11,1,2,1,2
8,4,21,3,1,1,1,1,18,1,0,38,23,1,2,2,13
1,4,20,2,1,1,1,1,18,1,0,51,11,1,2,1,6
2,2,1,3,3,2,1,1,18,1,0,29,11,1,1,1,9
8,5,12,2,2,2,1,1,18,1,1,44,11,1,2,1,4
8,2,0,4,2,1,1,1,18,1,1,20,11,1,2,1,4
11,1,9,2,2,1,1,1,3,1,1,45,11,1,2,1,6
4,6,5,2,1,1,1,2,1,1,0,25,11,1,2,1,17
1,1,21,3,1,6,1,1,18,1,0,66,11,1,2,1,13
8,6,19,2,9,1,1,1,18,14,0,32,11,1,9,5,3
3,4,20,2,3,3,2,2,18,1,1,70,11,1,2,1,13
3,2,14,4,2,1,1,1,1,1,1,89,11,1,2,1,8
2,3,20,2,1,4,5,1,18,8,0,24,11,1,2,1,9
8,5,13,2,1,1,1,1,18,1,0,61,11,1,2,1,3
9,7,21,2,1,1,1,4,18,1,0,19,11,1,2,1,17
8,6,10,2,2,1,1,1,18,1,1,20,11,1,2,1,17
8,5,1,3,9,1,1,5,18,1,0,28,12,1,2,2,9
6,4,13,2,1,1,1,1,18,1,1,45,13,1,1,2,18
12,3,17,3,1,1,5,1,18,1,0,44,11,1,2,1,19
3,4,9,2,1,1,3,4,18,1,0,20,11,1,2,1,10
6,3,21,2,1,1,1,1,1,6,0,66,13,1,2,2,9
11,3,23,2,1,1,1,1,18,1,0,73,11,1,2,1,5
8,2,3,2,1,1,1,3,18,1,1,70,11,1,1,1,8
2,2,15,2,1,1,1,3,18,1,1,62,11,1,2,1,14
3,7,13,2,1,1,1,1,18,1,1,36,11,1,2,1,8
12,3,10,2,1,2,2,1,18,1,1,31,11,1,2,1,13
8,1,7,3,3,1,1,1,18,7,0,65,11,1,1,1,9
10,7,11,2,1,1,1,1,18,1,0,64,11,1,2,1,4
2,2,5,2,1,1,3,3,1,1,1,23,13,1,2,2,14
10,3,9,2,1,1,1,3,18,1,0,64,11,1,1,1,11
10,1,16,2,1,1,1,3,18,1,0,15,13,1,2,2,2
11,7,3,2,1,1,1,1,18,1,0,24,11,1,2,1,6
1,3,21,2,1,1,1,1,18,1,0,16,13,1,1,2,12
8,4,19,3,1,1,1,1,18,1,1,57,13,1,1,2,9
8,1,6,2,1,1,1,1,18,1,1,56,11,1,2,1,14
6,2,0,2,1,1,1,3,18,1,1,29,13,1,2,2,8
10,1,2,2,1,2,2,1,18,1,0,33,11,1,2,1,19
12,6,15,5,1,1,5,1,18,1,0,55,11,1,2,1,15
8,7,19,2,1,1,1,2,18,1,1,5,21,1,2,2,1
2,6,23,3,1,1,2,1,18,1,1,47,11,1,2,1,5
4,6,14,2,1,1,1,3,18,1,0,71,11,1,2,1,7
5,4,6,2,1,1,1,2,18,1,1,56,11,1,2,1,11
7,3,12,2,1,1,1,1,18,1,0,26,11,1,12,1,2
10,4,20,4,1,1,2,1,18,1,0,46,11,1,2,1,16
8,6,17,3,1,1,1,1,18,1,0,53,11,1,2,1,11
2,1,9,3,3,4,5,1,18,1,1,18,11,1,2,1,16
9,7,18,2,1,1,1,1,18,1,0,60,11,1,2,1,7
11,5,14,2,1,1,4,1,18,1,0,27,11,1,2,1,7
1,3,14,3,3,1,5,1,18,1,0,64,11,1,2,1,4
4,5,2,2,1,1,1,1,18,1,0,25,22,1,2,2,14
5,2,16,2,1,1,1,1,18,1,1,55,11,1,2,1,12
10,2,7,2,1,3,2,1,18,1,0,29,11,1,2,1,7
11,2,6,2,1,4,2,3,18,1,0,40,11,1,2,1,5
8,7,2,2,1,1,1,1,18,1,0,20,12,1,1,2,4
7,1,18,2,1,1,1,1,18,1,0,28,11,1,2,1,4
7,3,20,2,1,1,1,1,18,1,0,21,13,1,2,2,10
6,3,14,2,1,1,1,3,8,1,1,1,23,1,2,2,15
7,3,16,2,2,1,1,1,3,14,0,49,22,1,9,5,21
8,1,11,4,1,1,1,1,18,1,0,40,11,1,2,1,1
11,6,19,3,1,2,1,1,18,1,1,29,11,1,2,1,7
9,4,7,2,2,1,1,1,18,1,1,20,11,1,2,1,16
10,5,8,2,2,6,1,1,3,1,0,30,11,1,2,1,14
9,3,1,2,1,1,1,1,18,1,0,85,11,1,2,1,14
5,1,8,3,1,1,1,1,18,1,1,52,11,1,2,1,7
12,3,16,2,1,1,2,1,18,1,1,18,11,1,2,1,1
9,4,4,3,1,2,1,1,18,1,1,26,11,1,2,1,6
12,7,9,3,1,1,3,1,18,1,0,20,11,1,2,1,13
7,2,8,3,2,2,1,1,1,1,1,38,11,1,12,1,16
10,5,16,3,2,1,1,1,18,1,0,36,11,1,2,1,9
11,6,12,2,1,1,1,1,18,1,0,71,11,1,2,1,18
1,7,18,3,2,1,5,1,3,1,1,42,23,1,2,2,15
9,4,21,2,1,1,1,1,18,1,1,81,11,1,2,1,3
9,1,23,2,1,1,1,1,18,1,0,27,11,1,2,1,10
11,5,15,3,2,1,1,1,3,1,0,79,11,1,2,1,5
11,5,17,3,1,4,3,5,18,1,0,24,11,1,2,1,12
12,6,4,2,1,4,3,1,18,1,1,27,11,1,2,1,3
3,6,19,2,1,1,1,1,3,1,0,28,21,1,1,2,15
5,7,12,2,1,1,2,1,18,1,1,8,21,1,2,2,13
5,7,19,3,1,1,1,1,18,1,0,17,13,1,2,2,7
5,7,19,3,1,1,1,1,18,1,0,18,11,1,2,1,7
8,6,2,2,2,1,1,1,3,1,0,19,11,1,2,1,4
5,5,15,2,1,3,2,1,18,1,0,61,11,1,2,1,4
2,3,16,2,1,4,3,1,18,1,1,20,13,1,2,2,9
3,4,14,2,1,2,1,1,18,1,1,61,11,1,2,1,2
7,6,15,3,1,2,1,1,18,1,1,37,11,1,2,1,13
12,5,22,2,1,1,1,1,18,1,0,31,11,1,2,1,2
9,5,2,2,1,6,1,1,18,1,0,48,11,1,2,1,9
3,2,21,4,1,2,2,1,18,1,0,51,11,1,2,1,2
10,6,5,5,1,1,1,1,18,1,0,29,11,1,2,1,3
2,2,18,2,1,2,5,1,18,1,0,43,11,1,2,1,2
8,5,20,3,1,1,1,1,18,1,0,17,11,1,2,1,16
8,5,15,2,1,3,2,1,18,1,0,39,11,1,1,1,5
11,4,17,2,1,2,1,6,18,14,0,41,11,1,9,5,1
6,3,5,2,1,1,1,1,18,1,0,28,11,1,2,1,13
1,2,20,3,9,1,1,1,18,1,1,8,21,1,2,2,2
11,4,8,2,1,4,2,3,8,1,0,16,13,1,2,2,13
3,3,15,2,1,3,2,1,18,1,0,72,11,1,2,1,14
7,2,5,4,2,1,1,1,18,1,0,21,11,1,2,1,7
11,6,19,2,1,1,1,1,18,1,0,43,11,1,2,1,8
12,6,3,3,1,2,5,1,18,1,1,50,11,1,2,1,11
7,5,22,2,1,2,1,1,18,1,1,24,13,1,2,2,11
6,1,5,3,1,2,1,1,18,1,0,41,11,1,2,1,10
12,2,23,3,1,6,2,1,18,1,0,28,11,1,2,1,12
6,4,12,2,1,1,1,1,18,1,0,51,11,1,2,1,11
5,1,16,3,1,2,2,1,18,1,0,41,11,1,2,1,9
5,7,17,2,1,2,1,1,18,1,0,45,13,1,2,2,12
1,1,1,2,1,2,5,2,18,1,1,35,13,1,2,2,8
7,5,16,3,1,1,1,2,3,1,0,71,11,1,2,1,10
3,3,17,2,1,1,1,1,18,1,0,59,11,1,2,1,10
8,4,16,2,2,2,1,1,1,14,0,70,11,1,9,5,10
10,1,14,2,1,1,1,1,18,1,1,53,13,1,2,2,3
10,6,20,2,1,3,2,1,18,1,1,31,11,1,2,1,14
9,1,21,2,3,1,1,1,18,1,0,27,11,1,2,1,11
8,7,5,3,1,1,1,1,18,1,1,21,11,1,2,1,5
10,7,23,2,1,2,2,1,18,1,1,18,11,1,2,1,7
8,1,8,4,2,2,1,1,3,1,1,50,11,1,2,1,9
4,3,23,2,1,1,1,1,18,1,0,30,11,1,2,1,19
11,5,18,2,1,7,1,1,18,1,1,18,11,1,2,1,5
4,2,22,2,1,1,1,1,18,1,0,16,13,1,2,2,7
8,4,10,3,2,3,2,1,1,1,0,24,11,1,2,1,9
3,2,1,2,1,1,1,1,18,1,0,38,11,1,1,1,10
